*
* Map Model Decriptors to Set Names
*
* SetName;Descriptor
*
Area65;A65Key
AreaX;AreaKey
Company;CmpyKey
Class;CLSKey
CostType;CostKey
CNArea;CNAKey
CRegion;CRegKey
CTech;TechKey
DOERegion;DOEReDs
ECTrans;ECTranKey
ECC;ECCKey
Enduse;EUKey
ES;ESKey
FuelEP;FlEPKey
FuelFs;FlFsKey
FuelOG;FlOGKey
GenCo;GCoKey
Horizon;HRZKey
HYear;HYRKey
Month;MonKey
Nation;NatKey
NationX;NatKey
OGUnit;OGCode
PI;ProcKey
Plant;PLNKey
Pollution;PollKey
Pollutant;PollKey
PollX;PollKey
PolSec;PolSKey
Power;PwrKey
PPSet;PPKey
Prices;PrKey
Process;PrcKey
ProcOG;PrcOGKey
RfUnit;RfName
Sector;SecKey
Technology;TechKey
tv;tvKey
vArea;vAreaKey
vEnduse;vEUKey
vTech;vTechKey
Unit;UnitKey
Waste;WasteKey
Year;YrKey
YrI;YrKey
