*
* Map Model Decriptors to Set Names
*
* SetName;Descriptor
*
Area;AreaDS
AreaTOM;AreaTOMDS
AreaX;AreaXDS
CRegion;CRegDS
Crude;CrudeDS
DOERegion;DOERegionDS
ECC;ECCDS
ECCintoTOM;ECCintoTOMDS
Enduse;EnduseDS
ES;ESDS
Fleet;FleetDS
Fuel;FuelDS
FuelEP;FuelEPDS
FuelFs;FuelFsDS
FuelOG;FuelOGDS
GenCo;GenCoDS
GNode;GNodeDS
GNodeX;GNodeXDS
HYear;HYearDS
Month;MonthDS
Nation;NationDS
NationX;NationXDS
Node;NodeDS
NodeX;NodeXDS
OGUnit;OGCode
Plant;PlantDS
Prices;PricesDS
Pollution;PollDS
Pollutant;PollDS
PolSec;PolSecDS
Power;PowerDS
Process;ProcessDS
ProcOG;ProcOGDS
RfUnit;RfCode
Sector;ECDS
Technology;TechDS
TimeP;TimePDS
vArea;vAreaDS
vEnduse;vEnduseDS
vTech;vTechDS
Unit;UnCode
Waste;WasteDS
Year;YearDS
